Chembl ID;Smiles;IC50;pIC50;MolWt;nHA;nHD;MolLogP;category
CHEMBL271614;CC(C)Nc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1;10.3;-1.0128372247051722;402.54500000000013;7;2;4.041000000000002;active
CHEMBL371477;NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CF)cc1;2.0;-0.3010299956639812;332.35600000000005;4;1;3.1255000000000015;potent
CHEMBL452744;CS(=O)(=O)c1ccc(-c2[se]ncc2-c2ccc(F)cc2)cc1;600.0;-2.7781512503836434;380.3020000000001;3;0;3.015200000000001;active
CHEMBL376246;NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OCCCO[N+](=O)[O-])c(F)c2)cc1;16000.0;-4.204119982655925;470.86600000000027;8;1;2.9564000000000012;intermediate
CHEMBL45886;COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CN(c3ccc(F)cc3)C2=O)cc1;300.0;-2.4771212547196626;437.49200000000013;4;0;4.195400000000003;active
CHEMBL305060;CS(=O)(=O)c1ccc(-c2ccsc2-c2ccc(F)cc2)cc1;8000.0;-3.9030899869919438;332.42100000000005;3;0;4.624700000000003;intermediate
CHEMBL3113617;Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)NCC(=O)O)c3ccccc32)cc1;9110.0;-3.9595183769729982;400.4120000000001;6;2;1.5702199999999997;intermediate
CHEMBL148976;CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nc3sccn23)cc1;14.0;-1.146128035678238;372.446;5;0;4.272400000000003;active
CHEMBL1204023;Cl.O=S(=O)(Nc1ccncc1NC1CCCCC1)C(F)(F)F;330.0;-2.5185139398778875;359.80100000000016;4;2;3.509500000000002;active
CHEMBL1078373;CS(=O)(=O)Nc1ccncc1Nc1ccc(Br)cc1;21900.0;-4.3404441148401185;342.2180000000001;4;2;2.959200000000001;intermediate
CHEMBL17062;Cc1nc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccccc2)s1;29.0;-1.462397997898956;330.43399999999997;4;1;3.432920000000002;active
CHEMBL173186;COC(=O)c1ccc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)c1;48000.0;-4.681241237375588;366.4380000000001;4;0;4.210700000000003;intermediate
CHEMBL106023;NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1;340.0;-2.531478917042255;447.23600000000005;5;1;3.3630000000000013;active
CHEMBL181529;COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O;10710.0;-4.029789470831855;365.38500000000005;6;2;4.443800000000003;intermediate
CHEMBL154907;Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccccc2)c1=O;300.0;-2.4771212547196626;340.40400000000005;5;0;2.5178000000000003;active
